level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	18	2	211	1863	93	35	24.321457	OVEN
5	1	1	1	18	3	335	1863	169	35	92.984718	KIPKORN
5	1	1	1	18	4	986	1848	230	60	6.739025	4874),
4	1	1	1	19	0	258	1912	1113	44	-1	
5	1	1	1	19	1	258	1914	170	42	90.870125	Korting
5	1	1	1	19	2	922	1912	163	43	0.000000	Tal
5	1	1	1	19	3	1049	1908	48	51	18.315773	hap
5	1	1	1	19	4	1132	1915	39	15	46.066784	ee
5	1	1	1	19	5	1280	1929	3	4	26.781902	oe
5	1	1	1	19	6	1369	1942	2	2	59.694977	|
4	1	1	1	20	0	4	1949	1375	58	-1	
5	1	1	1	20	1	4	1966	8	3	41.885658	se
5	1	1	1	20	2	83	1967	16	17	41.885658	*
5	1	1	1	20	3	131	1966	45	34	45.095070	«2X
5	1	1	1	20	4	206	1966	95	35	93.070190	OVEN
5	1	1	1	20	5	332	1965	245	35	91.268272	KIPNUGGETS
5	1	1	1	20	6	758	1964	21	36	80.423248	4
5	1	1	1	20	7	805	1965	51	42	53.790932	69
5	1	1	1	20	8	988	1965	149	42	52.494957	9,38
5	1	1	1	20	9	1369	1949	10	44	12.154655	'
4	1	1	1	21	0	4	2018	1084	44	-1	
5	1	1	1	21	1	4	2034	36	19	48.757702	=
5	1	1	1	21	2	254	2018	171	43	91.797104	Korting
5	1	1	1	21	3	970	2018	40	36	66.495270	-3
5	1	1	1	21	4	1025	2018	63	44	34.138458	38
4	1	1	1	22	0	31	2070	1382	47	-1	
5	1	1	1	22	1	31	2111	6	6	0.000000	g
5	1	1	1	22	2	126	2070	45	35	96.197655	2X
5	1	1	1	22	3	202	2070	146	36	95.869011	BISTRO
5	1	1	1	22	4	379	2070	146	37	56.740120	SALAMI
5	1	1	1	22	5	760	2072	97	44	96.437752	2,19
5	1	1	1	22	6	989	2073	99	43	63.198860	4,38
5	1	1	1	22	7	1391	2078	22	39	0.000000	e
4	1	1	1	23	0	2	2123	1412	51	-1	
5	1	1	1	23	1	2	2142	26	32	38.350544	me
5	1	1	1	23	2	76	2128	14	14	10.958271	6*
5	1	1	1	23	3	124	2123	45	36	95.300308	2X
5	1	1	1	23	4	200	2123	70	36	94.052887	CDM
5	1	1	1	23	5	302	2124	120	36	93.142441	PIZZA
5	1	1	1	23	6	455	2124	146	37	92.921906	SALAME
5	1	1	1	23	7	759	2125	98	44	95.399117	4,29
5	1	1	1	23	8	989	2127	18	36	90.975334	8
5	1	1	1	23	9	1026	2127	62	44	80.743698	,58
5	1	1	1	23	10	1380	2126	34	47	51.146832	i<
4	1	1	1	24	0	9	2176	1403	50	-1	
5	1	1	1	24	1	9	2176	25	42	58.795250	=
5	1	1	1	24	2	250	2177	172	46	92.003098	Korting
5	1	1	1	24	3	970	2182	119	44	81.084663	-2,58
5	1	1	1	24	4	1391	2214	21	12	2.205067	E
4	1	1	1	25	0	7	2232	1407	49	-1	
5	1	1	1	25	1	7	2261	4	2	0.000000	—_
5	1	1	1	25	2	73	2237	14	15	33.612129	*
5	1	1	1	25	3	198	2232	70	38	95.284813	CDM
5	1	1	1	25	4	300	2232	173	39	92.974266	QUATTRO
5	1	1	1	25	5	504	2233	199	39	90.842537	FORMAGGI
5	1	1	1	25	6	990	2236	99	45	92.751175	4,29
5	1	1	1	25	7	1395	2254	19	13	35.701149	=
4	1	1	1	26	0	15	2288	1399	49	-1	
5	1	1	1	26	1	15	2299	12	38	21.966953	:
5	1	1	1	26	2	249	2288	172	45	91.345001	Korting
5	1	1	1	26	3	970	2292	118	43	87.300041	-1,29
5	1	1	1	26	4	1409	2307	5	4	18.448048	.
4	1	1	1	27	0	13	2342	1401	47	-1	
5	1	1	1	27	1	13	2361	4	3	63.374886	:
5	1	1	1	27	2	196	2342	172	37	90.077530	CONIMEX
5	1	1	1	27	3	401	2343	122	37	93.259598	CURRY
5	1	1	1	27	4	555	2343	95	38	92.091957	GEEL
5	1	1	1	27	5	990	2345	97	44	93.245476	2,79
5	1	1	1	27	6	1391	2344	23	45	0.000000	e
4	1	1	1	28	0	10	2397	1385	53	-1	
5	1	1	1	28	1	10	2403	13	34	44.549469	=
5	1	1	1	28	2	70	2397	14	19	79.752647	*
5	1	1	1	28	3	194	2398	46	36	79.384125	AP
5	1	1	1	28	4	260	2397	109	37	79.384125	.MOES
5	1	1	1	28	5	399	2398	47	37	93.251419	0%
5	1	1	1	28	6	478	2398	147	37	92.053131	SUIKER
5	1	1	1	28	7	990	2399	96	44	93.691719	2,49
5	1	1	1	28	8	1386	2409	9	41	0.000000	'
4	1	1	1	29	0	247	2453	1167	46	-1	
5	1	1	1	29	1	247	2453	174	45	0.000000	Karting
5	1	1	1	29	2	969	2453	117	46	34.115025	-1,49
5	1	1	1	29	3	1387	2464	27	24	58.613773	=
4	1	1	1	30	0	25	2508	1369	44	-1	
5	1	1	1	30	1	25	2513	4	2	39.707966	5
5	1	1	1	30	2	70	2512	13	15	51.282257	*
5	1	1	1	30	3	119	2508	44	36	93.222168	2X
5	1	1	1	30	4	196	2508	198	37	90.343048	BONENMIX
5	1	1	1	30	5	427	2508	147	37	95.986641	KIDNEY
5	1	1	1	30	6	759	2508	96	44	95.455109	2,49
5	1	1	1	30	7	987	2508	98	44	94.635155	4,98
4	1	1	1	31	0	13	2561	1391	47	-1	
5	1	1	1	31	1	13	2577	17	5	79.682152	=
5	1	1	1	31	2	247	2562	173	46	90.509140	Korting
5	1	1	1	31	3	968	2561	116	45	85.946655	-2,98
5	1	1	1	31	4	1395	2573	9	6	15.883493	:
4	1	1	1	32	0	71	2615	1013	45	-1	
5	1	1	1	32	1	71	2623	11	12	21.818928	.
5	1	1	1	32	2	196	2617	19	37	63.031288	K
5	1	1	1	32	3	236	2617	261	38	63.031288	IKKERERWTEN
5	1	1	1	32	4	988	2615	96	45	90.706261	2,09
4	1	1	1	33	0	247	2668	1155	48	-1	
5	1	1	1	33	1	247	2671	174	45	91.326981	Korting
5	1	1	1	33	2	967	2668	117	44	70.773239	-1,09
5	1	1	1	33	3	1386	2678	16	21	69.038292	=
4	1	1	1	34	0	17	2721	1366	45	-1	
5	1	1	1	34	1	17	2743	11	23	5.054274	_
5	1	1	1	34	2	70	2729	13	17	70.159477	*
5	1	1	1	34	3	194	2725	196	40	0.000000	W.BONEN/
5	1	1	1	34	4	401	2726	90	37	0.000000	TOM.
5	1	1	1	34	5	505	2725	95	37	14.552059	SAUS
5	1	1	1	34	6	987	2721	95	42	24.666576	2,59
4	1	1	1	35	0	247	2772	833	52	-1	
5	1	1	1	35	1	247	2781	174	43	90.514565	Korting
5	1	1	1	35	2	964	2772	116	40	78.583427	-1,59
4	1	1	1	36	0	9	2821	1069	59	-1	
5	1	1	1	36	1	9	2831	16	11	54.010666	=
5	1	1	1	36	2	196	2833	174	39	96.515511	CHICKEN
5	1	1	1	36	3	401	2831	147	37	96.283257	STICKS
5	1	1	1	36	4	981	2821	97	59	74.010483	3,69
4	1	1	1	37	0	196	2872	1186	70	-1	
5	1	1	1	37	1	196	2887	19	37	90.433578	R
5	1	1	1	37	2	248	2882	249	41	44.358902	STATIEGECD
5	1	1	1	37	3	554	2872	522	70	10.218096	eee
5	1	1	1	37	4	916	2867	93	79	23.162928	gah
5	1	1	1	37	5	1034	2867	47	79	0.000000	20
4	1	1	1	38	0	144	2966	1246	62	-1	
5	1	1	1	38	1	144	2984	298	44	88.447060	Totaal
5	1	1	1	38	2	778	2972	137	37	87.913322	E44
5	1	1	1	38	3	948	2966	123	58	20.982256	,380
4	1	1	1	39	0	3	3096	1382	75	-1	
5	1	1	1	39	1	3	3096	24	67	44.235779	:
5	1	1	1	39	2	175	3136	46	35	92.455719	DE
5	1	1	1	39	3	249	3126	149	40	90.958855	TOTALE
5	1	1	1	39	4	428	3119	170	39	91.134850	KORTING
5	1	1	1	39	5	630	3120	42	36	93.266846	IS
5	1	1	1	39	6	700	3123	147	45	84.106522	€18,
5	1	1	1	39	7	806	3105	42	70	96.261658	24
4	1	1	1	40	0	4	3213	393	41	-1	
5	1	1	1	40	1	4	3213	20	9	19.713612	=:
5	1	1	1	40	2	254	3220	143	34	10.832100	a0
4	1	1	1	41	0	15	3223	1379	65	-1	
5	1	1	1	41	1	15	3265	8	5	41.950958	S
5	1	1	1	41	2	76	3241	90	42	60.117203	poy;
5	1	1	1	41	3	201	3223	146	45	67.617737	902340
5	1	1	1	41	4	1372	3265	22	23	0.000000	L.
4	1	1	1	42	0	18	3270	423	72	-1	
5	1	1	1	42	1	18	3337	5	2	26.708956	BS
5	1	1	1	42	2	78	3270	313	72	0.000000	KLANTTICKET
5	1	1	1	42	3	1377	3299	31	20	0.000000	-,
4	1	1	1	43	0	15	3361	1364	70	-1	
5	1	1	1	43	1	15	3420	2	2	0.000000	B
5	1	1	1	43	2	81	3361	213	70	29.938492	terminal!
5	1	1	1	43	3	757	3363	184	7	18.879595	568
5	1	1	1	43	4	948	3375	69	53	8.622026	Fa6
4	1	1	1	44	0	82	3429	1297	73	-1	
5	1	1	1	44	1	82	3429	213	56	11.243153	Werchant:
5	1	1	1	44	2	854	3434	161	68	39.459808	1849794
5	1	1	1	44	3	1377	3457	2	2	16.528282	:
4	1	1	1	45	0	15	3481	1377	65	-1	
5	1	1	1	45	1	15	3484	30	44	57.031578	SS
5	1	1	1	45	2	83	3481	213	50	25.362291	periods:
5	1	1	1	45	3	825	3482	191	64	0.000000	jaacerse
4	1	1	1	46	0	4	3540	913	89	-1	
5	1	1	1	46	1	4	3613	11	6	46.349541	:
5	1	1	1	46	2	83	3546	96	83	20.624310	ra.
5	1	1	1	46	3	216	3540	352	74	17.040138	60018KEURDY7ND1
5	1	1	1	46	4	583	3562	334	36	43.577236	I379JEZIL92DUN
4	1	1	1	47	0	13	3706	1401	70	-1	
5	1	1	1	47	1	13	3706	36	57	94.508057	=
5	1	1	1	47	2	97	3728	161	45	62.560642	MAESTRO
5	1	1	1	47	3	414	3770	7	6	65.909546	;
5	1	1	1	47	4	1363	3707	51	67	45.298767	=
4	1	1	1	48	0	1	3738	1413	96	-1	
5	1	1	1	48	1	1	3779	52	45	54.052864	SS
5	1	1	1	48	2	91	3738	348	96	0.000000	1140000000043060
5	1	1	1	48	3	463	3770	12	40	92.610474	)
5	1	1	1	48	4	1363	3777	51	39	45.514046	re
4	1	1	1	49	0	12	3832	1402	89	-1	
5	1	1	1	49	1	12	3863	44	19	26.108555	—
5	1	1	1	49	2	94	3832	136	89	25.300169	deel
5	1	1	1	49	3	559	3858	460	55	35.511913	673706XXXXXXXXxX2692
5	1	1	1	49	4	1358	3874	56	41	58.643536	es
4	1	1	1	50	0	1	3921	1396	62	-1	
5	1	1	1	50	1	1	3945	42	32	66.593987	SS
5	1	1	1	50	2	96	3931	264	39	36.733276	Kaartseriel
5	1	1	1	50	3	366	3929	101	28	0.000000	Uhimer
5	1	1	1	50	4	998	3923	21	34	85.312256	0
5	1	1	1	50	5	1126	3951	222	32	34.089359	a
5	1	1	1	50	6	1361	3921	36	26	78.834076	=
